Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.1.1 (lin64) Build 2960000 Wed Aug  5 22:57:21 MDT 2020
| Date         : Fri Sep 12 05:15:01 2025
| Host         : unicorn1 running 64-bit Ubuntu 22.04.4 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 6 -file ../../../reports/FPGA/otbn/utilization_hierarchical.txt
| Design       : otbn
| Device       : 7k160tfbg676-1
| Design State : Routed
--------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------+------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                      Instance                     |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|       u_sync_1                                    |             prim_flop__parameterized3_73 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|       u_sync_2                                    |             prim_flop__parameterized3_74 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|   u_lc_rma_req_sync                               |             prim_lc_sync__parameterized0 |         17 |         17 |       0 |    0 |     8 |      0 |      0 |          0 |
|     gen_flops.u_prim_flop_2sync                   |          prim_flop_2sync__parameterized1 |         17 |         17 |       0 |    0 |     8 |      0 |      0 |          0 |
|       u_sync_1                                    |                prim_flop__parameterized3 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|       u_sync_2                                    |             prim_flop__parameterized3_71 |         17 |         17 |       0 |    0 |     4 |      0 |      0 |          0 |
|   u_mem_load_crc32                                |                               prim_crc32 |         53 |         53 |       0 |    0 |    32 |      0 |      0 |          0 |
|   u_otbn_core                                     |                                otbn_core |      27237 |      27157 |      80 |    0 | 13375 |      0 |      0 |         16 |
|     (u_otbn_core)                                 |                                otbn_core |          1 |          1 |       0 |    0 |    28 |      0 |      0 |          0 |
|     u_otbn_alu_base                               |                            otbn_alu_base |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|     u_otbn_alu_bignum                             |                          otbn_alu_bignum |       1857 |       1857 |       0 |    0 |   320 |      0 |      0 |          0 |
|       (u_otbn_alu_bignum)                         |                          otbn_alu_bignum |       1284 |       1284 |       0 |    0 |   320 |      0 |      0 |          0 |
|       u_adder_x_op_a_blanked                      |             prim_blanker__parameterized4 |        378 |        378 |       0 |    0 |     0 |      0 |      0 |          0 |
|         u_blank_and                               |               prim_and2__parameterized10 |        378 |        378 |       0 |    0 |     0 |      0 |      0 |          0 |
|       u_expected_ispr_rd_en_enc                   |          prim_onehot_enc__parameterized0 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |          0 |
|       u_expected_ispr_wr_en_enc                   |       prim_onehot_enc__parameterized0_66 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |          0 |
|       u_logical_op_a_blanker                      |             prim_blanker__parameterized3 |        128 |        128 |       0 |    0 |     0 |      0 |      0 |          0 |
|         u_blank_and                               |             prim_and2__parameterized9_70 |        128 |        128 |       0 |    0 |     0 |      0 |      0 |          0 |
|       u_logical_op_shifter_res_blanker            |          prim_blanker__parameterized3_67 |        160 |        160 |       0 |    0 |     0 |      0 |      0 |          0 |
|         u_blank_and                               |             prim_and2__parameterized9_69 |        160 |        160 |       0 |    0 |     0 |      0 |      0 |          0 |
